Property_ID,Arrondissement,Property_Type,Size_sqm,Rooms,Floor,Year_Built,Condition,Distance_to_Center_km,Price_EUR
P10129,2.0,Loft,198.0,50.0,4.0,-1011.5,-,3.94,3927960.23
P10130,17.0, Studio,164.0,5.0,6.0,N/D,Renovated,2.83,1612826.79
P10131,200.0,Apartment,89.0,1.0,2.0,1880.0,Renovated,6.45,797689.64
P10132	,20.0,Penthouse,50.0,2.0,3.0,1928.0,New,12.35,745599.05
P10133,10.0,Penthouse,1990.0,3.0,1.0,1928.0,Needs Renovation,8.26,2266992.89
P10134,11.0,Loft,40.0,3.0,4.0,1919.0,Renovated	,149.9,722519.63
P10135,18.0,PENTHOUSE,82.0,3.0,3.0,1962.0,Good,8.18,852314.82
P10136,14.0,Loft,15.0,2.0,5.0,1886.0,Good,7.84,258200.31
P10137,20.0,Penthouse,114.0,5.0,0.0,1983.0,Needs Renovation,5.38,1640582.34
P10138,18.0,	Apartment	,24.0,5.0,1.0,20230.0,Renovated,10.43,210251.99
P10139,10.0,Studio,98.0,1.0,8.0,1866.0, Needs Renovation,2.19,947257.93
P10140,-10.0,Penthouse,157.0,3.0,0.0,1918.0,good,12.54,1913267.81
P10141,15.0,Loft,192.0,5.0,8.0,2011.0,Good,3.13,3219918.66
P10142,17.0, Studio,49.0,1.0,-4.5,1909.0,Good,12.71,827778.94
P10143,3.0,Penthouse,86.0,3.0,2.0,2014.0,Renovated,12.31,1508715.87
P10144,3.0,Studio,137.0,2.0,8.0,1891.0,Renovated,6.19,2588531.92
P10145,8.0,Studio,veinte,3.0,0.0,1872.0,Good,6.86,N/A
P10146,1.0, Apartment,1990.0,1.0,6.0,1902.0,Good,13.64,3138747.44
P10147,16.0,Apartment,193.0,3.0,-4.5,1984.0,Needs Renovation,11.09,2543419.18
P10148,14.0,	Studio	,56.0,4.0,0.0,2004.0,Needs Renovation ,11.93,981584.93
P10149,-115.0,Loft,52.0,1.0,4.0,2004.0,Good,-7.495,610514.57
P10150,5.0,*Apartment*,100.0,2.0,9.0,1946.0,New ,1.99,1714950.42
P10151,14.0,Studio ,-99.5,-2.5,3.0,1864.0,Good,149.9,2090020.41
 P10152,17.0,Loft,19.0,5.0,1.0,2004.0,New,9.8,204269.32
P10153	,18.0,Studio ,1990.0,4.0,4.0,1997.0,New,3.13,2953758.5
P10154,15.0,Studio,88.0,-2.5,9.0,1990.0,GOOD,2.52,1704331.21
P10155,17.0,Penthouse,125.0,4.0,3.0,1917.0,Needs Renovation,11.96,1889444.36
P10156,20.0,Loft,51.0,2.0,-4.5,1986.0,Needs Renovation,6.65,880002.96
P10157,6.0,Loft,43.0,1.0,88.26,cinco punto tres,Needs Renovation,2.14,821593.35
P10158,200.0,Studio,163.0,2.0,5.0,1906.0,Renovated,5.32,2944884.66
P10159,17.0,[Loft],196.0,3.0,90.0,1902.0,Good,twenty,-1975415.91
P10160,9.0,Loft,194.0,1.0,-51.75,1884.0,New,6.27,1562783.35
P10161,-115.0,loft,39.0,five point two,90.0,1984.0,Renovated,-7.495,742492.43
P10162,11.0,Penthouse,176.0,3.0,2.0,-1011.5,New,8.88,2363084.29
P10163,5.0,Penthouse ,194.0,5.0,0.0,1878.0,Good,8.92,3681761.26
P10164,13.0,Studio,1990.0,2.0,4.0,1898.0, Good,3.08,1337769.89
P10165,200.0,Loft,98.0,1.0,5.0,1935.0,Needs Renovation,1.74,958827.37
P10166,11.0,Loft,1990.0,1.0,6.0,1972.0,Needs Renovation,149.9,1368227.81
P10167,200.0,Studio,76.0,5.0,90.0,20230.0, New,1.45,39508318.199999996
P10168,13.0,Apartment,92.0,nueve,1.0,1962.0,Needs Renovation,N/A,1236430.87
P10169,16.0,Apartment,180.0,-,0.0,1857.0,Renovated,13.0,1775318.93
P10170,10.0,Loft,117.0,3.0,9.0,1959.0,Needs Renovation,8.14,1460126.28
P10171,-10.0,Studio,101.0,treinta y dos,6.0,20230.0,Needs Renovation,6.42,1825824.1
*P10172*,ocho horas,Penthouse,71.0,3.0,7.0,1903.0,Needs Renovation,5.42,764875.73
P10173 ,16.0,?,81.0,3.0,90.0,2011.0,Needs Renovation,12.18,1282469.22
P10174,11.0,Loft,-99.5,3.0,3.0,2014.0,Good,2.55,1994282.77
P10175,15.0,Studio,156.0,2.0,6.0,20230.0,New,3.51,1272339.6
P10176,13.0,Apartment,161.0,5.0,doce,1851.0,New,149.9,2981289.95
P10177,treinta y dos,Studio,162.0,3.0,1.0,1968.0,Needs Renovation,4.39,-1975415.91
P10178,6.0, Penthouse,19.0,5.0,null,1902.0,Renovated,4.77,245345.86
P10179,13.0,[Penthouse],100.0,4.0,9.0,2007.0,Good,7.57,968135.81
P10180,15.0,Penthouse,-99.5,1.0,-4.5,1863.0,Renovated,11.25,1962062.34
P10181,13.0,	Penthouse	,39.0,1.0,3.0,2003.0,Needs Renovation,8.12,377218.64
P10182,9.0,Apartment,123.0,2.0,5.0,1995.0,[Needs Renovation],8.18,-
P10183,1.0,Apartment,56.0,4.0,1.0,-11632.25,Renovated,6.38,39508318.199999996
P10184,8.0,Apartment,136.0,50.0,9.0,1935.0,New,-7.495,1424879.52
  P10185  ,1.0,Studio,71.0,3.0,8.0,1902.0,	Good	,3.04,1076995.96
P10186 ,1.0, Apartment ,-99.5,1.0,9.0,1895.0,Good,1.18,2435721.06
P10187,5.0,Loft,1990.0,3.0,90.0,20230.0,New,11.68,694446.67
P10188	,19.0,Studio,43.0,5.0,3.0,1962.0,Needs Renovation,10.96,775932.76
P10189,218.29, Penthouse,68.0,2.0,7.0,1999.0,RENOVATED,11.12,867665.89
P10190	,20.0,Apartment	,47.0,2.0,3.0,-11632.25,Good,7.7,393587.29
P10191,10.0,LOFT,123.0,3.0,9.0,1922.0,New,,1477343.98
P10192,10.0,Loft,31.0,1.0,7.0,1891.0,Needs Renovation,7.17,432322.77
[P10193],7.0,Apartment,49.0,3.0,2.0,1951.0,Good,9.06,437726.02
P10194,4.0,Penthouse,33.0,5.0,0.0,1866.0,New,14.28,300266.5
	P10195	,19.0,Apartment,69.0,1.0,7.0,1932.0,Renovated,11.12,-1975415.91
P10196,18.0,*Loft*,163.0,1.0,5.0,1874.0,Renovated,13.6,2592580.27
P10197,3.0,Penthouse,26.0,54.34,9.0,1896.0,New,1.14,516152.42
P10198,14.0,*Studio *,30.0,-2.5,4.0,1935.0,New,149.9,305007.12
P10199,14.0,Penthouse,28.0,50.0,2.0,1921.0,Needs Renovation,14.58,469623.95
P10200,5.0,Loft,96.0,4.0,1.0,1952.0,Good,1.04,1740920.91
P10201,17.0,Penthouse,173.0,3.0,1.0,1980.0,Needs Renovation ,10.6,-22717282.96
P10202,15.0,Loft,182.0,50.0,6.0,20230.0,Renovated,12.16,3038890.63
P10203,11.0,Studio,1990.0,5.0,1.0,2010.0,New,13.35,286917.52
P10204,9.0,Loft,184.0,4.0,6.0,2019.0, Needs Renovation,14.86,1986374.52
P10205,nueve,Loft,27.0,5.0,2.0,1972.0,*Renovated*,14.97,39508318.199999996
P10206,1.0,	 Penthouse	,43.0,1.0,4.0,1865.0,*Renovated*,13.17,551396.35
P10207,6.0,*Loft*,135.0,2.0,6.0,1933.0,Good,11.19,1228552.92
*P10208*,12.0,Penthouse,191.0,3.0,7.0,2007.0,Renovated,12.87,2599076.28
P10209,9.0,loft,160.0,5.0,0.0,1922.0,New,2.09,na
P10210,17.0,Studio,1990.0,4.0,9.0,20230.0,NEW,11.9,1433571.3
P10211,8.0,Loft,185.0,4.0,7.0,-11632.25,Needs Renovation,14.2,NaN
P10212,18.0,Studio,25.0,5.0,6.0,-1011.5,new,1.44,496755.47
P10213,16.0,[Loft],86.0,4.0,5.0,1966.0,New,12.54,1552636.16
P10214,3.0,Penthouse ,1990.0,2.0,8.0,2018.0,Good,3.2,1061854.69
P10215,13.0,Studio,17.0,5.0,6.0,1858.0,Renovated,13.95,147799.91
	P10216	,19.0,Penthouse,136.0,1.0,-4.5,2012.0, Needs Renovation,11.49,41849771.08
P10217,18.0,Penthouse,76.0,1.0,2.0,1862.0,Needs Renovation,149.9,748353.07
P10218,200.0,Penthouse,103.0,-2.5,4.0,1947.0,Renovated,7.13,1930122.9
P10219,15.0,Penthouse,198.0,54.18,8.0,2002.0, Needs Renovation,12.86,-1975415.91
P10220,9.0,Studio,184.0,1.0,8.0,1854.0,New,11.16,2198545.41
P10221,7.0,*Penthouse*,138.0,50.0,-4.5,1995.0,New,1.68,2301983.71
P10222,18.0,Studio,74.0,5.0,0.0,1963.0,Good,7.68,1386298.18
 P10223,7.0,Loft,76.0,5.0,2.0,1905.0,Renovated,10.1,39508318.199999996
P10224,19.0,STUDIO,54.0,3.0,0.0,1855.0,New,8.06,992191.39
P10225,7.0,Penthouse,94.0,4.0,8.0,1862.0,Good,12.64,1711456.19
P10226,12.0,Studio,103.0,5.0,5.0,1856.0,Renovated,13.28,1664653.99
P10227,1.0,  Studio  ,59.0,2.0,90.0,-1011.5,Renovated,2.37,801552.77
P10228,2.0,Apartment ,121.0,5.0,1.0,1949.0,Renovated,8.56,2047573.99
P10229,5.0,Loft,91.0,5.0,1.0,1862.0,NEW,9.45,-1975415.91
P10230,1.0,Penthouse,twelve,1.0,1.0,1937.0,Needs Renovation,12.37,39508318.199999996
P10231,16.0,Loft,84.0,3.0,9.0,1912.0,Renovated,6.19,1439116.13
P10232,6.0,Apartment,93.0,5.0,3.0,1997.0,Renovated,10.47,858400.86
P10233,16.0,NULL,-99.5,3.0,-4.5,1994.0,New,178.59,819715.55
P10234,13.0, Apartment,36.0,2.0,1.0,1899.0,New,14.86,320267.99
P10235,19.0,Apartment,1990.0,50.0,90.0,1974.0,Good,6.06,2523433.44
P10236,5.0,Penthouse,43.0,3.0,2.0,1907.0,NEEDS RENOVATION,0.51,767900.68
P10237,8.0,Apartment,188.0,-2.5,dieciocho,1948.0,Needs Renovation,7.05,3753512.87
P10238,20.0,Studio,53.0,50.0,3.0,1881.0,Needs Renovation,1.69,865181.9
P10239,15.0,Loft,98.0,3.0,0.0,1975.0,Renovated,2.69,1105353.2
P10240,19.0,Loft,106.0,5.0,na,1933.0,Renovated,6.27,-1975415.91
P10241,19.0,Apartment,199.0,5.0,0.0,1907.0,New,13.46,3941738.62
P10242,7.0,Studio,-99.5,2.0,0.0,1874.0,Renovated,10.87,39508318.199999996
P10243,3.0,Studio,32.0,4.0,7.0,1909.0,Good,3.19,437712.6
P10244,6.0,Apartment,159.0,5.0,treinta y dos,1980.0,Good,twelve,2753746.8
P10245 ,1.0,Loft,186.0,5.0,90.0,1980.0, Renovated,3.19,3523218.03
P10246,20.0,Loft,29.0,1.0,6.0,1866.0,Renovated,9.31,NULL
  P10247  ,2.0,Studio,98.0,4.0,8.0,1912.0,Renovated,9.95,1440693.3
[P10248],200.0,Loft,131.0,2.0,0.0,1921.0,New,7.24,2301762.91
P10249,8.0,Penthouse,78.0,2.0,5.0,-1011.5,Good,10.03,1073222.75
 P10250,14.0,Apartment,47.0,4.0,7.0,1860.0,Good,149.9,815835.96
P10251,5.0,Penthouse,102.0,1.0,8.0,1895.0,Good,2.57,1112263.1
P10252,veinte,Apartment,94.0,4.0,9.0,2017.0,Good,0.64,1544380.49
P10253,10.0,Penthouse,111.0,-2.5,8.0,2007.0,Needs Renovation ,0.98,1599610.62
P10254,4.0,Loft,1990.0,2.0,1.0,2015.0,Renovated,-7.495,1659200.31
P10255,13.0, Studio ,188.0,2.0,1.0,20230.0,Needs Renovation,2.93,3310123.59
P10256,15.0,Apartment,63.0,3.0,5.0,1858.0,New,149.9,597910.29
P10257,14.0,Penthouse,117.0,1.0,7.0,1921.0,Renovated,10.85,1931520.97
P10258,1.0,Apartment,1990.0,4.0,6.0,1933.0,Good,8.52,917578.58
P10259,19.0,Apartment,148.0,2.0,2.0,-,Renovated,8.13,2576086.61
P10260,19.0,  Apartment  ,120.0,3.0,6.0,1861.0,Good,2.81,2003750.25
P10261,200.0,Loft,59.0,3.0,6.0,1949.0, Good ,11.29,627203.5
P10262,6.0,Loft,133.0,5.0,2.0,1893.0,Needs Renovation,149.9,2115297.61
P10263 ,3.0,Loft,160.0,3.0,7.0,1954.0,Renovated,7.65,1718633.1
P10264,14.0,Penthouse,170.0,2.0,90.0,1946.0,Renovated,149.9,2182653.18
P10265,4.0,Studio,63.0,5.0,7.0,1997.0,Renovated,9.62,1053739.82
P10266,14.0,Loft,122.0,4.0,1.0,1945.0,Renovated,9.03,1715092.91
P10267	,13.0,Apartment,131.0,2.0,1.0,1928.0, New ,149.9,1813043.58
P10268,3.0,Penthouse,20.0,2.0,9.0,1974.0,Needs Renovation ,3.55,398112.0
P10269,11.0,Apartment,32.0,-2.5,2.0,1875.0,Needs Renovation,10.88,537515.4
P10270,17.0,Apartment,ocho horas,-2.5,1.0,1968.0,Needs Renovation	,NaN,NULL
P10271,14.0,Apartment,180.0,5.0,5.0,N/A,Needs Renovation ,6.37,2384277.24
P10272,17.0,Penthouse,28.0,1.0,6.0,1919.0,Needs Renovation,9.96,446640.75
	P10273	,-10.0,Apartment,103.0,1.0,2.0,-1011.5,Good,5.22,39508318.199999996
P10274,9.0,?,182.0,4.0,6.0,1896.0,Renovated,3.9,-1975415.91
P10275,15.0,Loft,24.0,3.0,9.0,1942.0,	 Good 	,5.39,319303.02
P10276,1.0,Studio,108.0,1.0,3.0,20230.0,Good,9.45,1422430.23
P10277,-10.0,Apartment,15.0,50.0,3.0,1877.0,*Needs Renovation*,1.03,150067.54
*P10278*,3.0,Studio,179.0,5.0,0.0,1969.0,New,12.18,2577983.62
P10279,15.0,[Apartment],170.0,4.0,3.0,1963.0,Good,14.81,2461407.91
P10280,16.0,Penthouse,51.0,-2.5,0.0,1968.0,Renovated,3.76,439638.46
P10281,14.0,Loft,73.0,5.0,cinco punto tres,-1011.5,Needs Renovation,2.65,-1975415.91
P10282,8.0,Loft,195.0,2.0,1.0,1899.0,Good,14.61,3818377.75
P10283,-10.0,studio,53.0,3.0,5.0,-1011.5,Good,2.32,734906.43
P10284,3.0,Penthouse,140.0,5.0,1.0,-1011.5,Needs Renovation,10.26,1361151.17
P10285,11.0, Apartment ,99.0,1.0,?,1854.0,New,14.47,1660225.42
 P10286,doce,Penthouse,189.0,-2.5,-51.75,2020.0,Needs Renovation,10.41,3012582.17
P10287,5.0,Loft,-,2.0,7.0,1896.0,Needs Renovation,8.77,-1975415.91
P10288,12.0, Penthouse,90.0,-2.5,3.0,1882.0,Needs Renovation,149.9,1725424.59
P10289,15.0,Penthouse,45.0,5.0,8.0,1939.0,Good,5.55,720164.62
P10290,8.0,[Loft],77.0,1.0,90.0,1862.0,Good,11.84,1416589.33
 P10291,14.0,Apartment,1990.0,1.0,1.0,na,Renovated,11.6,847147.72
P10292,16.0,Loft ,146.0,3.0,1.0,1990.0,Needs Renovation,12.07,2583346.09
P10293,5.0,Loft,97.0,50.0,90.0,1903.0,New,9.91,1727959.03
P10294,5.0,Penthouse,157.0,1.0,6.0,-1011.5, New,149.9,1946413.53
P10295,15.0,Apartment,74.0,5.0,-51.75,1884.0,Needs Renovation,3.8,990439.94
P10296,1.0,Studio,25.0,3.0,9.0,2023.0,Needs Renovation,7.76,250533.32
P10297,5.0,Apartment,99.0,2.0,1.0,2005.0,Needs Renovation,0.87,1922356.53
P10298,9.0,Penthouse,168.0,1.0,1.0,1897.0,Needs Renovation,8.91,2110474.37
P10299,3.0,Penthouse,58.0,4.0,6.0,?,Needs Renovation,11.33,887101.94
P10300,11.0,Loft,122.0,3.0,4.0,2000.0,New,6.75,1739086.77
P10301,20.0,Apartment,94.0,5.0,8.0,20230.0,Good,13.94,1764978.46
P10302,-10.0,Studio,29.0,4.0,5.0,1868.0,New,1.97,557183.74
	P10303	,14.0,Apartment,139.0,4.0,3.0,1876.0,	 Renovated	,13.98,1540303.31
	P10304	,15.0,Studio,170.0,-28.75,9.0,2013.0,Renovated,10.91,2545101.39
P10305,1.0,Apartment,1990.0,1.0,9.0,1938.0, Renovated,8.08,315531.25
P10306,2.0,Penthouse,21.0,4.0,6.0,-1011.5,*Renovated*,12.0,213722.46
P10307,12.0,Loft,56.0,4.0,5.0,1856.0,Good,dieciocho,733282.43
