Unnamed: 0,property_type,price,location,city,baths,purpose,bedrooms,Area_in_Marla
132.0,House,5300000.0,	Gulshan-e-Iqbal	,Rawalpindi,3.0,For Sale,2.0,-97.0
133.0,House,N/A,Shalley Valley,Rawalpindi,6.0,For Sale,6.0,10.0
1684450.0,Lower Portion  ,15000000.0,Askari 13,Rawalpindi,-3.5, For Rent,3.0,5.0
135.0,Room ,18000000.0,Askari 14,Rawalpindi,5.0,For Sale,4.0,10.0
136.0,House,-22450000.0,Askari 13,Karachi ,5.0,For Sale,4.0,10.0
137.0,House,27000000.0,,Rawalpindi,4.0,For Sale,60.0,10.0
138.0,House,18000000.0,Askari 13,Rawalpindi,3.0,For Sale,61.97,5.0
141.0,House,125000.0,Chaklala Scheme,,5.0,For Rent,5.0,20.0
142.0,lower portion,33000.0,Bahria Town Rawalpindi,Rawalpindi,3.0, For Sale ,3.0,10.0
143.0,House,110000.0,Bahria Town Rawalpindi,Rawalpindi,7.0,For Rent,-3.0,20.0
1684450.0,House,60000.0,Bahria Town Rawalpindi,Rawalpindi,6.0,For Rent,5.0,10.0
NULL,	Upper Portion	,50000.0,Bahria Town Rawalpindi,Rawalpindi,3.0,For Rent,3.0,20.0
146.0,House,70000.0,Bahria Town Rawalpindi, Rawalpindi,5.0,For Rent,51.21,10.0
147.0,Flat,22000.0,Bahria Town Rawalpindi,	Rawalpindi	,2.0,For Rent,2.0,2.4
149.0,Flat,35000.0,JAMIL TOWN,Rawalpindi,2.0,For Rent,2.0,seven
1684450.0,Upper Portion,48000.0,Bahria Town Rawalpindi,Rawalpindi,-3.5,For Rent,3.0,20.0
151.0,Upper Portion,50000.0,Chaklala Scheme,Rawalpindi,-3.5,For Rent,3.0,20.0
152.0,Flat,449000000.0,-,Rawalpindi,-3.5, For Rent ,3.0,4.4
153.0,Flat,25000.0,Qartaba Chowk ,Rawalpindi,1.0,For Rent,1.0,2.2
154.0,House,50000.0,Askari 14,Rawalpindi,6.0,For Rent,5.0,10.0
155.0,	House	,449000000.0,Askari 14,  Rawalpindi  ,4.0,For Rent,3.0,10.0
158.0,Flat,21000000.0, Chandni Chowk ,Karachi,3.0,For Sale	,61.87,8.9
159.0,House,6500000.0,Malir,Karachi,1.0,For Sale,2.0,3.2
160.0,House,13000000.0,Gadap Town,Karachi,4.0,For Sale,4.0,9.6
161.0,ROOM,32000000.0,DHA Defence,RAWALPINDI,4.0, For Sale,-3.0,4.0
163.0,*Flat*,16500000.0,Gulshan-e-Iqbal Town,Karachi,4.0,For Sale,4.0,9.8
165.0,House,12800000.0,Scheme 33,Karachi,6.0,For Sale,5.0,9.6
166.0,FARM HOUSE,30000000.0,Cantt,Karachi,3.0,For Sale,60.0,-97.0
167.0,Flat,34000000.0,Cantt,Karachi,4.0,For Sale,3.0,11.4
172.0,House,17000000.0,Gulshan-e-Iqbal Town,Karachi,-3.5,*For Sale*,4.0,4.8
173.0,Flat,12500000.0,Gulshan-e-Iqbal Town,Karachi,3.0,For Sale,3.0,7.6
175.0,[Flat],4100000.0,Abul Hassan Isphani Road,Karachi ,2.0,For Sale,2.0,3.2
177.0,Flat,-22450000.0,Cantt,Karachi,3.0,For Sale,3.0,11.4
178.0,Flat,-22450000.0,Cantt,Karachi,3.0,For Sale,3.0,11.4
179.0,Flat,40000000.0,Cantt,Faisalabad ,4.0,For Sale,4.0,13.2
194.0,House,19000000.0,Shahra-e-Faisal,Karachi,4.0,For Sale,4.0,9.6
195.0,Flat,7550000.0,Gizri,Karachi,2.0,For Sale,2.0,5.2
197.0,Flat,4500000.0,Saddar Town,Karachi,1.0,For Sale,2.0,-1115.5
198.0,Flat,6900000.0,Scheme 33,Karachi ,3.0,For Sale,4.0,6.1
199.0,Flat,4500000.0,TIP Housing Society ,rawalpindi,2.0, For Sale,2.0,4.8
200.0,House,20000000.0,Gulshan-e-Iqbal Town,Karachi,3.0,For Sale,2.0,4.8
206.0,Flat,twenty,DHA Defence,karachi,70.0, For Sale,2.0,9.1
207.0,  Flat  ,25000000.0,DHA Defence,Karachi	,1.0,For Sale,1.0,6.0
210.0,House,120000.0,Cantt,Karachi,4.0,For Rent,4.0,14.0
-84222.5,House,19000.0,  Federal B Area  ,Karachi,five point two,For Rent,3.0,4.8
-84222.5,House	,43000.0,North Karachi,Karachi,3.0,For Rent	,6.0,11.5
215.0,House,130000.0,Malir,Karachi,5.0,For Rent,5.0,20.0
218.0,House,105000.0,Malir,*Karachi*,5.0,For Rent,5.0,20.0
219.0,Flat,65000.0,waris khan,Karachi,3.0,For Rent,3.0,7.8
220.0,Lower Portion,150000.0,Gulshan-e-Iqbal Town,Karachi,3.0,For Rent,3.0,16.0
221.0,House,38800000.0,Emaar Canyon Views,Islamabad,-3.5, For Rent,5.0,30.0
223.0,	Flat	,15500000.0,DHA Defence,Islamabad,4.0,For Sale,4.0,12.0
225.0,Flat,3200000.0,F-17, Islamabad,2.0,For Sale,-34.5,3.7
226.0,House,-22450000.0,F-17,  Islamabad  ,6.0,For Sale,4.0,1940.0
227.0,Flat,3965000.0,I-12,Islamabad,2.0, For Sale,-3.0,4.2
229.0,*Flat*,7800000.0,F-10,Islamabad ,2.0,For Sale,2.0,5.8
230.0,farm house,30000000.0,data ganj bakhsh town,Islamabad,7.0,For Sale,6.0,1940.0
231.0,House,21000000.0,bankers town,Islamabad,6.0,For Sale,5.0,10.0
232.0,Flat,8000000.0, Bahria Town,*Islamabad*,2.0,For Sale,2.0,6.1
233.0,House,180000.0,F-10,Islamabad,6.0,For Rent,6.0,26.0
234.0,Upper Portion,70000.0,F-10,Islamabad,3.0,For Rent,3.0,20.0
236.0,House,140000.0,SHAHRA-E-JAHANGIR,Islamabad,6.0, For Rent,5.0,20.0
seven,Upper Portion,75000.0,F-10,*Islamabad*,3.0, For Rent,3.0,20.0
239.0,House,220000.0,F-10,Islamabad,6.0,*For Rent*,6.0,20.0
240.0,lower portion,40000.0,Bahria Town,Islamabad,3.0,For Rent,-3.0,10.0
241.0,Upper Portion,80000.0,F-10,Islamabad,3.0,For Rent,3.0,20.0
244.0,House,240000.0,F-10,LAHORE,5.0,For Rent,5.0,20.0
245.0,House,-22450000.0,F-10,Islamabad,6.0,For Rent,6.0,20.0
247.0,House,190000.0,F-10,N/A,6.0,For Rent,6.0,20.0
248.0, Upper Portion,-22450000.0,F-11,Islamabad,4.0,	For Rent	,4.0,26.0
249.0,Upper Portion,75000.0, Abdul Sattar Edhi Road ,Islamabad,na,For Rent,3.0,20.0
250.0,Penthouse ,350000.0,	F-11	,Islamabad,6.0,For Rent,-3.0,40.0
251.0,House,-22450000.0,F-11,Islamabad,5.0, For Rent,5.0,20.0
252.0,Lower Portion,449000000.0,hbfc housing society,Islamabad,3.0,For Rent,3.0,26.0
253.0,House,449000000.0,Zafar Ul Haq Road,Islamabad,5.0,For Rent,5.0,-97.0
1684450.0,House,180000.0,F-11,Islamabad,6.0,For Rent,6.0,20.0
256.0,Lower Portion,100000.0,F-11,Islamabad,3.0,For Rent,3.0,26.0
258.0,Upper Portion,130000.0,F-8,Islamabad,2.0,For Rent,2.0,1940.0
260.0,Flat,449000000.0, DHA Defence,*Islamabad*,1.0,For Rent,2.0,4.0
261.0,House,110000.0,	F-11	,Islamabad,4.0,For Rent ,4.0,9.3
-84222.5,Upper Portion,80000.0,F-11, Islamabad,3.0,For Rent,3.0,26.0
263.0, Upper Portion,110000.0,E-11,Islamabad,6.0,For Rent,6.0,10.1
264.0,Upper Portion,75000.0,korang town,Islamabad,3.0,For Rent,3.0,20.0
265.0,Flat,33000.0,Askari 14,Rawalpindi,4.0,For Rent,3.0,10.0
266.0,House,47000.0,Askari 14,Rawalpindi,4.0,For Rent,3.0,10.0
267.0,House,55000.0,Askari 13,ISLAMABAD,-3.5,For Rent,-3.0,5.0
269.0,House,55000.0,Askari 13,Rawalpindi,4.0,For Rent,3.0,5.0
270.0,Flat,35000.0,Askari 7,Rawalpindi,4.0,For Rent,3.0,1940.0
271.0,House,17600000.0,Bahria Town,Lahore,dieciocho,For Sale,5.0,10.0
272.0,House,17500000.0,Bahria Town,Lahore,6.0,For Sale,5.0,10.0
273.0,*House*,35000000.0,Askari,Lahore,5.0,For Sale,4.0,17.0
274.0,House,22000000.0,Askari,Lahore,5.0,For Sale,4.0,10.0
275.0,Penthouse ,23500000.0,Askari,Lahore,6.0,For Sale,60.0,10.0
276.0,[House],41500000.0,Askari,Lahore,-40.25,For Sale,5.0,20.0
277.0,House,23000000.0,Askari,Lahore,5.0,For Sale,4.0,10.0
279.0,House,449000000.0,Askari,Lahore,4.0,For Sale,64.97,-1115.5
280.0,House,21000000.0,Askari,Lahore,4.0,For Sale,3.0,10.0
281.0,House,19200000.0,Architects Engineers Housing Society, Rawalpindi ,7.0,For Sale,5.0,twenty
282.0,House,7700000.0,Paragon City,Lahore,-40.25,For Sale,3.0,4.0
283.0,House,21500000.0,*DHA Defence*,ISLAMABAD,5.0,For Sale	,4.0,10.0
-84222.5,House,11800000.0, Kaleem Shaheed Colony No 2,Lahore,4.0,For Sale,3.0,5.0
285.0,House,26500000.0,DHA Defence,Lahore,5.0,For Sale,4.0,-97.0
288.0,House,12500000.0,Samanabad,Lahore,3.0, For Sale ,2.0,5.5
289.0,House,36000000.0,Askari,Lahore,5.0,For Sale ,4.0,17.0
1684450.0,House,36000000.0, Khayaban-e-Zohra,Lahore,6.0,For Sale,5.0,20.0
292.0,upper portion ,20000000.0,Bahria Town,Lahore,70.0,For Sale,5.0,
293.0,House,6000000.0,Allama Iqbal Town,Lahore,-3.5,for sale,3.0,-97.0
294.0,House,449000000.0,GULZAR-E-QUAID HOUSING SOCIETY,Lahore,n/a,For Sale,3.0,2.0
296.0,House,35000000.0,DHA Defence,Lahore,6.0,*For Sale*,5.0,20.0
300.0,House,22500000.0,DOGECH,Lahore,5.0,For Sale,5.0,10.0
301.0,House,22500000.0,pakistan intelligence bureau housing society,Lahore,5.0,	For Rent 	,4.0,10.0
302.0,House,23500000.0, Murababad,Lahore,4.0,For Sale,4.0,-97.0
303.0,House,15500000.0,Allama Iqbal Town,Lahore,5.0,For Sale,5.0,-1115.5
304.0,House,37000000.0,Askari,Lahore,70.0,For Sale,4.0,17.0
305.0,	House	,28000000.0,Askari,Lahore,4.0,For Sale,4.0,12.0
-84222.5,House,23500000.0,Askari,  Lahore  ,-40.25,For Sale,-3.0,10.0
307.0,House,22000000.0,Askari,Lahore,6.0,For Sale,5.0,10.0
309.0,House,21500000.0,*Askari*,Lahore,5.0,*For Sale*,4.0,10.0
310.0,[House],22500000.0,Askari,Islamabad ,5.0,For Sale,ocho horas,10.0
314.0,	PENTHOUSE	,449000000.0,Mozang,Lahore,70.0,For Sale,2.0,3.0
318.0,House,8500000.0,*Abdullahpur*,NaN,3.0,For Sale,4.0,5.0
-84222.5,flat,10500000.0, Ghalib City ,NaN,4.0,For Sale,60.0,10.0
320.0,House,25000000.0,Askari 10,Rawalpindi,4.0,For Sale,5.0,10.0
323.0,Flat,11500000.0,?,Rawalpindi,4.0,For Sale,3.0,10.0
325.0,Flat,9800000.0,Askari 3,Rawalpindi,cinco punto tres,For Sale,3.0,10.0
326.0,Flat,9800000.0,Askari 2,Rawalpindi,4.0, For Rent,3.0,10.0
327.0,Flat,3000000.0,Bahria Town Rawalpindi,Rawalpindi,1.0,for sale,1.0,1.5
328.0,House,21000000.0,Bahria Town Rawalpindi,Rawalpindi,6.0,For Sale,5.0,10.0
330.0,House,22500000.0,Askari 7,Rawalpindi,4.0,For Sale,3.0,10.0
331.0,House,25000000.0,Westridge,karachi,4.0,For Rent ,3.0,11.0
332.0,House,22500000.0,Bahria Town Rawalpindi,Rawalpindi,6.0,For Sale,5.0,10.0
333.0,House,449000000.0,Bahria Town Rawalpindi,Rawalpindi,7.0,For Sale,-3.0,20.0
334.0,House,38000000.0,Bahria Town Rawalpindi,Rawalpindi,-3.5,For Sale,5.0,20.0
335.0,Flat,10000000.0,Askari 1,Rawalpindi,70.0,For Sale,3.0,10.7
336.0,House,22500000.0,Bahria Town Rawalpindi,Rawalpindi,6.0,For Sale	,5.0,10.0
337.0,House ,40000000.0,  Bahria Town Rawalpindi  ,Rawalpindi,7.0,For Sale,6.0,1940.0
338.0,House,42000000.0,Bahria Town Rawalpindi,Rawalpindi,NaN,For Sale,6.0,20.0
339.0,*House*,58000.0,Askari 14,Rawalpindi,6.0,For Rent,-3.0,10.0
340.0,House,55000.0,Askari 14,Rawalpindi	,5.0,For Rent,-3.0,10.0
342.0,Lower Portion,48000.0,Askari 7,Rawalpindi,3.0,For Rent,3.0,10.0
343.0,Lower Portion,29500.0,Bahria Town Rawalpindi,Rawalpindi,4.0,For Rent,3.0,10.0
344.0,House,60000.0,Askari 13,Rawalpindi,4.0,For Rent,3.0,10.0
345.0,House,70000.0,	Askari 10	,Rawalpindi,70.0,For Rent,60.0,veinte
346.0,Flat,30500000.0,DHA Defence,Karachi,1.0,For Sale,1.0,5.5
353.0,Flat,6000000.0,  Bahria Town Karachi  ,Karachi,2.0,[For Sale],0.0,4.2
356.0,House,20000000.0,Bahria Town Karachi,*Karachi*,3.0,For Sale,3.0,8.0
357.0,House	,-22450000.0,Bahria Town Karachi,Karachi,5.0,For Sale,5.0,14.0
358.0,Flat,22500000.0,DHA Defence,Karachi,3.0,For Sale,3.0,8.0
360.0,House,21000000.0,Bahria Town Karachi,Karachi,3.0,For Sale,3.0,8.0
361.0,Penthouse ,8500000.0,*Jinnah Avenue*,Karachi,3.0,For Sale,3.0,8.0
363.0,Flat,25000000.0,DHA Defence,Karachi,70.0,For Sale,3.0,1940.0
-968558.75,Flat,3760000.0,  PAF Housing Scheme  ,Karachi,2.0,For Sale,2.0,5.2
-84222.5,Flat,ocho horas,Gulshan-e-Iqbal Town,Karachi,2.0,For Sale,3.0,6.7
370.0,Upper Portion,150000.0,DHA Defence,*Karachi*,5.0,For Rent,4.0,40.0
371.0,House,449000000.0,DHA Defence, Karachi ,n/a,*For Rent*,twelve,20.0
372.0,Lower Portion,-22450000.0,Malir,Karachi,3.0, For Rent,3.0,20.0
373.0,Flat,5000000.0,E-11,Islamabad,2.0,For Sale,2.0,-97.0
374.0,Flat,3600000.0,E-11,Islamabad,1.0,For Sale,1.0,3.1
-84222.5,Flat,4800000.0,E-11, Lahore ,2.0,FOR RENT,2.0,4.0
376.0,House,14000000.0,G-13,Islamabad,5.0,For Sale,5.0,-97.0
-968558.75,House,14500000.0,Ghauri Town,Islamabad,5.0,For Sale,4.0,7.0
treinta y dos,House,19000000.0,G-11,Islamabad,5.0,For Sale,60.0,5.6
381.0,House,6500000.0,DHA Defence,Islamabad,3.0,FOR RENT,3.0,8.0
382.0,	House	,449000000.0, DHA Defence,Islamabad,4.0,For Sale,3.0,10.0
nueve,[House],15500000.0,bakar mandi road,Islamabad,5.0,For Sale,5.0,10.0
385.0,Flat,7000000.0,G-11,Islamabad,1.0,For Sale,-3.0,-97.0
1684450.0,Flat,27900000.0,Jinnah Avenue,Islamabad,2.0,For Sale ,2.0,6.9
389.0,Flat,18400000.0,Jinnah Avenue,Islamabad,-3.5,For Sale,-3.0,4.3
390.0,Flat,27100000.0, Jinnah Avenue, Islamabad ,2.0,For Sale,-3.0,-97.0
392.0,Flat,449000000.0,E-11,Islamabad,3.0,For Sale,3.0,7.6
393.0,House,10500000.0,	Kuri Road	,Islamabad,twenty,*For Sale*,3.0,8.0
394.0,House,14500000.0,G-11,Islamabad,3.0,For Sale,4.0,4.4
396.0,Flat,4800000.0,Bahria Town	,Islamabad,-3.5,For Sale ,1.0,2.9
1684450.0,House,13000000.0,garden west,Islamabad,70.0,For Rent ,4.0,1940.0
398.0,Flat,12500000.0,Gulberg,Islamabad,2.0,For Sale,2.0,6.9
400.0,House,na,NFC 1 ,Islamabad,4.0,FOR RENT,-34.5,5.0
402.0,Flat,5656000.0,Bahria Town,Islamabad,2.0,For Sale,2.0,3.6
403.0,Flat,5800000.0,E-11,Islamabad,NaN,For Sale,2.0,4.1
408.0,Flat,42000000.0, Gulshan View Residence Society,Islamabad,4.0,For Sale,4.0,16.4
410.0,Upper Portion,45000.0,DHA Defence, Lahore,-3.5,For Rent,3.0,20.0
411.0,Lower Portion,60000.0,DHA Defence,Islamabad,4.0,For Rent,3.0,20.0
412.0,House,65000.0,Askari 13,Rawalpindi,5.0,For Rent,5.0,veinte
414.0,Flat,45000.0,Askari 3,Rawalpindi,4.0,For Rent,3.0,10.0
415.0,Flat,-22450000.0,Askari 7,Rawalpindi,4.0,for rent,3.0,10.0
416.0,House,47000.0,*Askari 14*,Rawalpindi,4.0, For Rent,3.0,-97.0
417.0,House,55000.0,Askari 7,Rawalpindi,4.0, For Rent,3.0,10.0
419.0,Flat ,449000000.0,Askari 1,Rawalpindi,7.0,For Rent,60.0,10.0
421.0,House,85000.0,Askari 12,Rawalpindi,5.0,	For Rent	,5.0,20.0
423.0,House,8000000.0,Model Town,Lahore,3.0,For Sale,2.0,3.0
426.0,House,17000000.0,Sultan Pura, Karachi,4.0,For Sale ,5.0,7.0
428.0,House ,39500000.0,b-17,Lahore,7.0,For Sale,N/A,20.0
429.0,House,16500000.0,	Gulberg	,Lahore,4.0,For Sale,4.0,5.0
430.0,Flat,13000000.0,Askari,Lahore,3.0,For Sale,3.0,10.1
1684450.0,House,34500000.0,[I-12 ],rawalpindi,cinco punto tres,for rent,60.0,-97.0
441.0,House,30000000.0,T & T Aabpara Housing Society,Lahore,6.0,[For Sale],5.0,20.0
442.0,House,42000000.0,DHA Defence,Lahore,6.0, For Sale,5.0,20.0
443.0,[ Lower Portion],449000000.0,DHA Defence,Lahore,6.0,For Sale,5.0,20.0
445.0,House	,4500000.0,Al Faisal Town,Lahore,3.0,For Sale,3.0,1940.0
450.0,*House*,13500000.0,T & T Aabpara Housing Society,Lahore,5.0,For Sale,5.0,10.0
451.0,Flat,7000000.0,Askari,Lahore,2.0,For Sale,2.0,6.0
452.0,House,9000000.0,ASKARI 7,Lahore,4.0,For Sale,3.0,3.0
454.0,Flat ,5100000.0,Bahria Town,Lahore,1.0,For Sale,1.0,2.0
455.0,House,-22450000.0,Bahria Town,Lahore,3.0,For Sale,3.0,8.0
-84222.5,*House*,12500000.0,[Canal Garden],Lahore,3.0,For Sale,2.0,10.0
457.0,House,30000000.0,Muslim Nagar Housing Scheme,Lahore,5.0,For Sale,5.0,-97.0
459.0,House,15500000.0,Tricon Village,ISLAMABAD,5.0,for sale,five point two,10.0
460.0,House,17600000.0,Bahria Town,Lahore,6.0,For Sale,5.0,10.0
463.0,House,13700000.0,Al Faisal Town,Lahore,6.0,For Sale	,5.0,1714.02
465.0,House,34000000.0,PCSIR Housing Scheme,Lahore,5.0,For Sale,5.0,20.0
469.0,House,11500000.0,Pak Arab Housing Society,Lahore,4.0,For Sale,3.0,5.0
470.0,House	,-22450000.0,DHA Defence,Lahore,6.0,[For Sale],5.0,1774.6
473.0,House	,10000000.0,Pak Arab Housing Society,Lahore,2.0,For Sale	,2.0,5.0
treinta y dos,*House*,11500000.0,Pak Arab Housing Society, Lahore,4.0,For Sale,3.0,5.0
476.0,House,18800000.0,State Life Housing Society,Lahore,5.0,For Sale,-3.0,10.0
477.0,House,11000000.0,Bahria Town,Lahore,3.0,For Sale,-3.0,5.0
479.0,House,23600000.0, Taj Bagh Scheme,Lahore,6.0,For Sale,4.0,10.0
483.0,House,10900000.0,DHA 11 Rahbar,Lahore,-3.5,For Sale,4.0,5.0
484.0,House,5600000.0, Gawala Colony,Lahore,4.0,For Sale,-3.0,3.0
485.0,	House	,33000000.0,DHA Defence,Lahore,5.0,For Sale,4.0,10.0
486.0,  House  ,29500000.0,DHA Defence,Lahore,5.0,For Sale,-3.0,10.0
488.0,  House  ,7900000.0,	Jaranwala Road	,Lahore,dieciocho,For Sale,3.0,dieciocho
490.0,House,8900000.0,Muslim Town,Faisalabad,5.0,For Sale,4.0,5.0
491.0,House,12500000.0,Wapda City,Faisalabad,5.0, For Sale,-3.0,10.0
